id_combined,date,experiment,us,treatment,trust_promise,trust,promise,default_yes,default_no,promise_yes,reported_diceroll,correct_guess,age,female,education,universitydegree,sector,employed,highincome,politicalright,believeingod,believeinfreewill,generaltrust,age_35,am_politics,am_god,am_freewill,am_trust,reciprocity_norms,moral_obligation,consistency,negative_emotion,positive_emotion,activepromise_treatment,default_treatment
6418,  5/24/2022 2:48,3,1,Default_yes,0,0,0,1,0,1,5,0,36,1,3,1,3,0,0,1,6,8,6,1,0,1,0,0,11,11,11,11,11,,1
6419, 5/24/2022 12:24,3,1,Trust,0,1,0,0,0,,5,1,39,0,2,0,1,1,0,1,1,6,7,1,0,0,0,0,7,9,6,8,8,,0
6420, 5/24/2022 12:08,3,1,Trust,0,1,0,0,0,,2,1,29,1,3,1,3,0,0,1,3,11,3,0,0,0,1,0,11,11,11,6,1,,0
6421, 5/24/2022 10:50,3,1,Default_no,0,0,0,0,1,1,2,1,35,0,3,1,1,1,1,2,2,11,3,1,0,0,1,0,8,7,4,3,3,,1
6422,  5/24/2022 3:16,3,1,Promise,0,0,1,0,0,1,6,0,69,0,4,1,1,1,1,2,1,8,8,1,0,0,0,1,8,8,8,8,6,1,0
6423,  5/24/2022 7:43,3,1,Trust,0,1,0,0,0,,1,0,25,0,4,1,2,1,0,1,1,11,6,0,0,0,1,0,6,11,11,11,11,,0
6424,  5/24/2022 2:45,3,1,Default_no,0,0,0,0,1,1,2,1,51,0,2,0,1,1,0,1,6,11,9,1,0,1,1,1,6,7,11,6,3,,1
6425, 5/24/2022 11:26,3,1,Promise,0,0,1,0,0,1,3,1,42,1,3,1,1,1,1,1,1,6,8,1,0,0,0,1,11,11,11,11,11,1,0
6426,  5/24/2022 1:12,3,1,Default_no,0,0,0,0,1,1,2,1,43,1,3,1,2,1,1,1,1,10,9,1,0,0,0,1,11,11,11,10,11,,1
6427,  5/24/2022 1:36,3,1,Default_yes,0,0,0,1,0,1,3,0,28,0,2,0,1,1,0,8,1,11,4,0,1,0,1,0,11,11,11,11,9,,1
6428,  5/24/2022 1:21,3,1,Trust,0,1,0,0,0,,2,0,39,1,2,0,1,1,0,4,6,11,6,1,0,1,1,0,11,11,11,11,11,,0
6429,  5/24/2022 4:33,3,1,Default_no,0,0,0,0,1,1,4,1,45,1,3,1,2,1,1,6,11,9,9,1,1,1,0,1,11,11,11,11,11,,1
6430,  5/24/2022 3:17,3,1,Control,0,0,0,0,0,,3,1,31,0,4,1,1,1,1,6,8,9,6,0,1,1,0,0,7,8,9,7,5,0,0
6431, 5/24/2022 11:52,3,1,Default_no,0,0,0,0,1,1,3,1,35,0,3,1,1,1,1,1,1,10,7,1,0,0,0,0,8,6,7,3,4,,1
6432,  5/24/2022 6:34,3,1,Trust,0,1,0,0,0,,3,1,32,1,3,1,1,1,1,6,1,11,8,0,1,0,1,1,11,10,10,11,9,,0
6433, 5/24/2022 12:40,3,1,Control,0,0,0,0,0,,5,0,76,0,3,1,3,0,1,2,1,9,9,1,0,0,0,1,11,11,11,11,11,0,0
6434,  5/24/2022 2:07,3,1,Default_no,0,0,0,0,1,1,1,1,24,1,3,1,3,0,0,4,1,9,8,0,0,0,0,1,11,11,11,11,11,,1
6435, 5/24/2022 11:09,3,1,Control,0,0,0,0,0,,5,0,24,1,3,1,1,1,1,8,11,8,4,0,1,1,0,0,11,11,11,10,11,0,0
6436,  5/24/2022 6:02,3,1,Default_yes,0,0,0,1,0,1,2,0,18,1,2,0,3,0,0,6,7,7,5,0,1,1,0,0,11,11,11,11,11,,1
6437,  5/24/2022 2:58,3,1,Promise,0,0,1,0,0,1,2,0,35,0,3,1,2,1,1,3,1,11,10,1,0,0,1,1,1,11,11,11,11,1,0
6438,  5/24/2022 1:58,3,1,Trust_promise,1,0,0,0,0,1,3,0,31,1,3,1,2,1,1,2,7,7,5,0,0,1,0,0,11,11,11,11,11,1,0
6439, 5/24/2022 12:12,3,1,Default_yes,0,0,0,1,0,1,1,0,38,0,3,1,1,1,0,3,1,7,7,1,0,0,0,0,9,7,9,5,6,,1
6440,  5/24/2022 1:10,3,1,Default_no,0,0,0,0,1,1,2,0,22,1,3,1,2,1,0,3,11,11,4,0,0,1,1,0,9,11,11,11,11,,1
6441,  5/24/2022 5:43,3,1,Default_no,0,0,0,0,1,1,4,1,34,1,4,1,2,1,1,6,11,8,7,0,1,1,0,0,11,11,11,10,10,,1
6442,  5/24/2022 2:45,3,1,Default_yes,0,0,0,1,0,1,2,0,23,1,2,0,1,1,0,1,7,11,3,0,0,1,1,0,10,10,10,10,10,,1
6443, 5/24/2022 12:20,3,1,Promise,0,0,1,0,0,1,1,0,38,0,4,1,1,1,1,9,1,11,7,1,1,0,1,0,11,11,11,11,11,1,0
6444, 5/24/2022 12:48,3,1,Default_no,0,0,0,0,1,1,1,0,34,1,3,1,1,1,0,3,8,11,7,0,0,1,1,0,9,10,8,10,8,,1
6445, 5/24/2022 12:31,3,1,Default_yes,0,0,0,1,0,1,6,0,21,0,2,0,3,0,0,1,2,9,8,0,0,0,0,1,8,8,10,9,9,,1
6446, 5/24/2022 11:28,3,1,Trust_promise,1,0,0,0,0,1,2,0,32,0,5,1,2,1,0,6,11,7,8,0,1,1,0,1,10,10,10,10,10,1,0
6447, 5/24/2022 12:31,3,1,Trust_promise,1,0,0,0,0,1,1,0,18,1,2,0,3,0,0,4,2,10,9,0,0,0,0,1,9,11,10,8,8,1,0
6448,  5/24/2022 3:54,3,1,Trust_promise,1,0,0,0,0,1,3,1,30,0,3,1,1,1,1,6,2,10,7,0,1,0,0,0,10,10,10,8,10,1,0
6449, 5/24/2022 10:08,3,1,Trust_promise,1,0,0,0,0,1,2,1,28,0,3,1,1,1,1,6,11,10,8,0,1,1,0,1,8,10,9,8,7,1,0
