"round_number","block_number","sequence_number","block_type","winning_probability","aaron_mood","probability_aaron_show","reward_value","reaction_time","choice","status_of_play","outcome","accumulated_outcomes","age","gender","major","MCQ_Q1","MCQ_Q2","MCQ_Q3","MCQ_Q4","MCQ_Q5","MCQ_Q6","chance_guess","pre_game_strategy","wager","post_game_quiz_q1","post_game_quiz_q2","post_game_quiz_q3","post_game_quiz_q3_other","post_game_quiz_correct","odds_guess_one_reply","odds_guess_one_did_win","odds_guess_two_reply","odds_guess_two_did_win","odds_guess_three_reply","odds_guess_three_did_win","id","treatment","craver","previous_choice","previous_trial_outcome","exposure_time","craver_2","blue_interspersed"
1,18,1,"S",0.8,"Low",1,"High",451,1,1,-0.7,21.6,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,45,1,2
2,18,1,"S",0.8,"Low",1,"High",508,1,1,1.3,22.9,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,45,1,2
3,18,1,"S",0.8,"Low",1,"High",427,1,1,1.3,24.2,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,46,1,2
4,18,1,"S",0.8,"Low",1,"High",422,1,1,1.3,25.5,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,47,1,2
5,18,1,"S",0.8,"Low",1,"High",484,1,1,1.3,26.8,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,48,1,2
1,19,1,"S",0.8,"High",0.5,"Low",691,1,0,0,26.8,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,49,1,2
2,19,1,"S",0.8,"High",0.5,"Low",404,1,0,0,26.8,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,49,1,2
3,19,1,"S",0.8,"High",0.5,"Low",517,1,1,0.3,27.1,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,49,1,2
4,19,1,"S",0.8,"High",0.5,"Low",576,1,0,0,27.1,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,50,1,2
5,19,1,"S",0.8,"High",0.5,"Low",444,1,0,0,27.1,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,50,1,2
1,20,1,"S",0.8,"High",0.5,"High",468,1,1,-0.7,26.4,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,50,1,2
2,20,1,"S",0.8,"High",0.5,"High",404,1,1,1.3,27.7,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,50,1,2
3,20,1,"S",0.8,"High",0.5,"High",428,1,0,0,27.7,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,51,1,2
4,20,1,"S",0.8,"High",0.5,"High",444,1,0,0,27.7,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,51,1,2
5,20,1,"S",0.8,"High",0.5,"High",428,1,1,1.3,29,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,51,1,2
